place_id,name,IG_link,img_source
ChIJDWGjKiyqQjQREW2vZOXMOYg,原川日式精緻涮涮鍋,https://www.instagram.com/explore/locations/2737075/,https://www.instagram.com/p/CHAMINdjD0r/
ChIJI4M1JV6rQjQRDz7ni4ud2zM,依依平價小火鍋,https://www.instagram.com/explore/locations/295847474612203/,None
ChIJY3YUcaKrQjQRZ1OTdcQlbEo,二本松涮涮屋 本館 ER BEN SONG SHABU 大安火鍋 台北美食,null,None
ChIJB_6IcCyqQjQRx4bUN_j-jlI,天天旺麻辣鴛鴦火鍋,null,None
ChIJMS8whyuqQjQRbqBGebOZsdc,禾豐日式涮涮鍋,https://www.instagram.com/explore/locations/1932181/,https://www.instagram.com/p/B124Srdj44S/
ChIJRfB_uCuqQjQRS9ywVk8bYfI,龍門客棧餃子館 瑞安店,https://www.instagram.com/explore/locations/7727557/,https://www.instagram.com/p/BnyMdCKhq4v/
ChIJTUKchS6qQjQRSCFKS6Z_VSI,八方雲集 (師院店),https://www.instagram.com/explore/locations/2167981/,None
ChIJYRdWaimqQjQRPYqlGYFBlgU,曾餃子 - 手工水餃專賣店（僅外帶）,null,None
ChIJOYu5vSiqQjQREYlFwP5DSCI,大李水餃,https://www.instagram.com/explore/locations/3091577/,https://www.instagram.com/p/B4e6axPHcJL/
ChIJf4iYUX-rQjQRU21WcJ9oyjk,五花馬水餃館 臺大店,null,None
ChIJ3WvTNC-qQjQRIsMfIJapv3g,大李水餃,https://www.instagram.com/explore/locations/3091577/,https://www.instagram.com/p/B4e6axPHcJL/
ChIJ8f6odi6qQjQRDlmZqk-iCX4,雪蕾黑豬肉水餃,null,None
ChIJI-YNQSqqQjQRAePATo68ZIc,八方雲集 (台北建南店),https://www.instagram.com/explore/locations/5920993/,None
ChIJabNgEe6pQjQRmNRbOhN5hq0,八方雲集 大安和平店,https://www.instagram.com/explore/locations/2024463854457309/,None
ChIJWR0uvS2qQjQRO6q5alhIOz0,成功水餃店,null,None
ChIJ1fcqRymqQjQRt2iRWuWHkUc,姐妹小吃店,null,None
ChIJPd47mSuqQjQR7c-aaNiimxk,麗如小吃店,null,None
ChIJnaNrgC6qQjQR_4PeUQsrutw,重慶小吃,https://www.instagram.com/explore/locations/1058764437591163/,https://www.instagram.com/p/BxOktgWl98B/
ChIJw4SuCYepQjQRFvqRowp8-As,珍線坊懷舊小吃,null,None
ChIJDVyx3C-qQjQR-C1DNclARJk,大福小吃店,null,None
ChIJ-xPWkC2qQjQRX4dMxtRvsDs,曾味小吃,null,None
ChIJo2SDbC6qQjQRgCG3tpiPTEs,日式小吃店,https://www.instagram.com/explore/locations/427946613/,https://www.instagram.com/p/BjfKmaPFbrE/
ChIJ6YG0ryiqQjQRRmU5cvV7iNM,川味辛亥小吃,https://www.instagram.com/explore/locations/124238415/,None
ChIJOVfdPSqqQjQRcZB32CU9ooA,四川蜀渝小吃,https://www.instagram.com/explore/locations/208274255864927/,https://www.instagram.com/p/CBfkb5LHIDe/
ChIJ16uRvKurQjQRK_ujzHGDK-E,穰穰-大安銅板美食|大安必吃小吃|台大美食|科技大樓美食|大安牛肉麵|大安魯肉飯,null,None
ChIJdazBVyyqQjQRDqXaeGyGDdk,大安魯肉飯,null,None
ChIJexSiLC-qQjQR0LgDorEWhig,笑嘻嘻港式現炒飯麵,https://www.instagram.com/explore/locations/417517566/,https://www.instagram.com/p/B6QGqOdAJhb/
ChIJ-88kIperQjQRXS_ZreF7fHY,M Fried Rice. / 賣炒炒飯專賣店,null,None
ChIJleDFhS6qQjQRY1kkY0naXFI,早餐店(炒飯),null,None
ChIJBRFERhirQjQRa3z8tq3wMDQ,生炒飯,null,None
ChIJfcJhlymqQjQRYBNOnSjuSkw,馬祖麵館,https://www.instagram.com/explore/locations/75522205/,https://www.instagram.com/p/CEOyeNNjrUO/
ChIJ1fcqRymqQjQRt2iRWuWHkUc,姐妹小吃店,null,None
ChIJVV0ISSqqQjQRV3Yu84qzaTg,魚韻日式料理,https://www.instagram.com/explore/locations/1029217394/,None
ChIJk1iCfNurQjQRa09O8sJeSM4,余韻日本料理,https://www.instagram.com/explore/locations/1020795107/,https://www.instagram.com/p/CDBcg8wJgg_/
ChIJG0U1DC2qQjQRC6EhdY-DM_c,海福岡日本料理海鮮熱炒,https://www.instagram.com/explore/locations/239901403/,https://www.instagram.com/p/B_IGTzsDSX3/
ChIJh7A2Vt2rQjQRbkRqwi8pOKo,利休日本料理,https://www.instagram.com/explore/locations/465371043988488/sushishabu-shabu/,https://www.instagram.com/p/CEeEEOtgzxt/
ChIJJbpnMC6qQjQReVq6J1vkalM,千松谷日式料理,https://www.instagram.com/explore/locations/110824913824760/,https://www.instagram.com/p/B_DAD2bjgz-/
ChIJVbJC9y2qQjQRuwy0BqC_f_8,西羅伐,https://www.instagram.com/explore/locations/241206913/,None
ChIJYz3mai6qQjQRUr2dTbz9Lzs,香葉泰式料理餐廳,https://www.instagram.com/explore/locations/115140437/,None
ChIJQyy5Ky-qQjQRMasV9k52ShU,湄賽雲泰料理,https://www.instagram.com/explore/locations/1024740593/,https://www.instagram.com/p/Bdy2Y-pHZ-Y/
ChIJ1ZsVwCmqQjQRkyBcm0ygWI4,尚讚滷味,https://www.instagram.com/explore/locations/1032004904/,None
ChIJM1V7Mi-qQjQR5aTWxn1CUT8,台南周氏冰鎮滷味(和平店),null,None
ChIJTzO0gy6qQjQR4DQelz_4fX8,桂師傅滷味科技大樓,null,None
ChIJwy2aJyyqQjQRiF3ZZuXKHJw,成功食品 王興富滷味,null,None
ChIJF4_o9UqrQjQRj7D5V0AFoUI,滷意思｜滷味．拌麵．鍋物．溫沙拉,null,None
ChIJszDy-7-rQjQRUIu5ZiVfFDQ,潮味決‧湯滷專門店 台北瑞安分社,null,None
ChIJMaLuhS6qQjQRwImwU5HwABs,景美阿郎鹽酥雞,null,None
ChIJ58Er3byrQjQR31YL_bPNJKQ,炸老大雞排鹹酥雞專賣店（瑞安店）,null,None
ChIJH0YHDyyqQjQRfLbbnfi0b4E,金城便當,null,None
ChIJawRDvPOrQjQRg2nYcfJJRoM,弁當工場 台大店 『便當外送 台北便當推薦 高級會議便當 台大午餐 美食外送』,null,None
ChIJ27EPhC6qQjQRrojq15aiJ3c,惡燒肉便當,https://www.instagram.com/explore/locations/791101599/,None
ChIJvcj32JarQjQRqkZX70do1ec,伊桑泰式炭烤雞腿便當店,null,None
ChIJk84eci2qQjQRMXxM0CPARkM,赤崁樓排骨便當 ＆ 營業料理教學,null,None
ChIJe1mixi6qQjQRiMzBglw6dho,長榮發池上飯包 池上便當,null,None
ChIJR9AvlymqQjQRUCLBgUoNnq4,翁包子快餐便當,null,None
ChIJK4IjBi2qQjQRWGUo5N75hws,蜂鳥食堂-大安店,null,None
ChIJ-UKmKSyqQjQR05UM2CbFN4k,和平食光咖啡,https://www.instagram.com/explore/locations/254290782023648/-cp/,https://www.instagram.com/p/CH2CaJsF271/
ChIJvU5mgSmqQjQR0WhA_Zruk5E,the Diner 樂子瑞安店,https://www.instagram.com/explore/locations/235515920/,https://www.instagram.com/p/Bfg7UQNgO1a/
ChIJDTHfdy6qQjQRGF1ABfl6yrI,好食早餐,https://www.instagram.com/explore/locations/351426865/breakfast/,https://www.instagram.com/p/B4AMc4Dn5qe/
ChIJ7Tn85R2rQjQRwBZdwI0ko8Q,早安有喜-大安和平店,https://www.instagram.com/explore/locations/103003394381146/-/,https://www.instagram.com/p/B6cE4SChDUW/
ChIJk50Mli2qQjQRbbpjTegxdGU,亞果早午廚坊,null,None
ChIJf5hrMC6qQjQRdsQWKLiRZC0,麥味登精緻早午餐敦南店,null,None
ChIJq4Cddi6qQjQRtSouaYEUL9c,找餐。店,https://www.instagram.com/explore/locations/6820626/,https://www.instagram.com/p/BiCPG7_Bfd7/
ChIJgSjIDSyqQjQRkqrlyFH-9dI,小川拉麵,https://www.instagram.com/explore/locations/585352624954538/ramen-ogawa-tw/,https://www.instagram.com/p/CDd_Gy6MdgR/
ChIJLfGCFyyqQjQRPqAF3WRg2uQ,元日本拉麵,https://www.instagram.com/explore/locations/732461523600544/,None
ChIJ_dJ3u7urQjQRwYrpBb9l-pg,本山日本豚骨拉麵,null,None
ChIJz8MQhC6qQjQR-0gL18qwD-Q,濃氣屋 拉麵 成功店,https://www.instagram.com/explore/locations/1056237091226664/,https://www.instagram.com/p/CHmrvhAJ43M/
ChIJF6NjKkKrQjQR-9jiZ8BLdwk,裸湯拉麵·雞白湯,https://www.instagram.com/explore/locations/335528800203715/,https://www.instagram.com/p/CCa_VE6D2ES/
ChIJkQLSxLKrQjQRI71MyxhXe-k,壹之穴沾麵專門店,https://www.instagram.com/explore/locations/101175851338385/ichi-/,https://www.instagram.com/p/B-_8xk2DNdf/
ChIJJ_c-rCuqQjQRi1_VUxR09-E,美鄉拉麵屋,https://www.instagram.com/explore/locations/4328857/,https://www.instagram.com/p/Bmezec6hQSR/
ChIJsbGoMy-qQjQRtQClI9-3Ag8,小李子蘭州牛肉拉麵館,https://www.instagram.com/explore/locations/26029754/,https://www.instagram.com/p/B78siUanJO7/
ChIJidZISSmqQjQR9VAOj3BbUpY,青山素食館,null,None
ChIJuWw81C6qQjQRD7lOTyFReqs,卡帛素食烘培‧義式廚房‧港式餐點 總店,https://www.instagram.com/explore/locations/376751555/-kapok/,None
ChIJP1XyFIOpQjQR-1jWNwpy_uE,禾欣素食,https://www.instagram.com/explore/locations/105357424416067/,https://www.instagram.com/p/B-MWQZDjOWg/
ChIJdaNQ1i6qQjQR4T-k53U6V2Y,全國食養健康素食自助餐 大安復興店,null,None
ChIJ6689Hs2rQjQRifRHqb5479M,明德素食園,https://www.instagram.com/explore/locations/1033776672/,None
ChIJ-7fAMS-qQjQRDzUNsedgCjI,貞有緣素食,null,None
ChIJefszjImpQjQRqZJVCqfXrhM,食香園素食館,null,None
ChIJ83emQSqqQjQRW6MevTEqLzg,仁里居,https://www.instagram.com/explore/locations/322663668153596/,https://www.instagram.com/p/CDOhVNVjEx1/
ChIJTXDY5G-rQjQRFs0m3GjdN90,潔暘麵包坊Vegan Taipei,https://www.instagram.com/explore/locations/228843390975872/,None
ChIJ5Zls-surQjQRtT-wtUeIkxo,麥當勞-復興二店,null,None
ChIJR4y1_YapQjQRA86AW8DROcA,摩斯漢堡,https://www.instagram.com/explore/locations/255380041/,None
ChIJT1w6Ay6qQjQR3-aM1y8aXYQ,BURGER KING漢堡王 敦南店,https://www.instagram.com/explore/locations/607012773009627/,https://www.instagram.com/p/B5zyakqAsZs/
ChIJUWUmAi2qQjQRxhkkHUlbydA,摩斯漢堡復興南路店,https://www.instagram.com/explore/locations/429060779/,None
ChIJm4r2zYupQjQRldQ-jLPXeIA,麥當勞-台北台大店,https://www.instagram.com/explore/locations/1214741885223565/mcdonalds/,https://www.instagram.com/p/BkeOWbEl8bk/
ChIJVRQpmoyrQjQRb6BWxHvYaKM,摩斯漢堡,https://www.instagram.com/explore/locations/255380041/,None
ChIJZ3dYjCeqQjQR4oYu4Y0hbWI,摩斯漢堡 台大小福店,https://www.instagram.com/explore/locations/255380041/,None
ChIJf_fLRvarQjQRFDDWkgvL9EM,Mos Burger,https://www.instagram.com/explore/locations/255380041/,None
