,Region,Category,Subcategory,Id,Name,pinyin,Score,IG_link,Google_link
239,gongguan,日式料理,日式料理,ChIJfYm9wYupQjQR0EZq7Pq77n8,平山家日式料理,píng shān jiā rì shì liào lǐ ,7.311659058974049,https://www.instagram.com/explore/locations/314925831/,https://maps.google.com/?cid=9218512173656590032
359,gongguan,台式/小吃,小吃,ChIJ0Svl4YqpQjQRXuxuaWVpUHE,佳興福州魚丸店,jiā xìng fú zhōu yú wán diàn ,7.306256777905805,https://www.instagram.com/explore/locations/1546716/,https://maps.google.com/?cid=8165142008704199774
202,gongguan,火鍋,火鍋,ChIJNd8zTBapQjQRpnuBM8A1Nm4,和牛涮樂日式涮涮鍋,hé niú shuàn lè rì shì shuàn shuàn guō ,7.289213425236891,None,https://maps.google.com/?cid=7941594092528565158
302,gongguan,西式/美式,早午餐,ChIJ4cI98NepQjQR3Uy-HdOy5k8,鱷吐司AToast,è tǔ sī AToast ,7.267012219989985,https://www.instagram.com/explore/locations/112671966967574/,https://maps.google.com/?cid=5757485793446612189
372,gongguan,西式/美式,早午餐,ChIJ0bB2nIupQjQRQMX2--vUgOE,貳樓餐廳,èr lóu cān tīng ,7.195537098465625,https://www.instagram.com/explore/locations/213525762/second-floor-cafe/,https://maps.google.com/?cid=16249221565562406208
162,gongguan,台式/小吃,粥,ChIJddB-FnOpQjQRtpaWgedVZPI,源士林粥品,yuán shì lín zhōu pǐn ,7.172734599927388,https://www.instagram.com/explore/locations/470639285/,https://maps.google.com/?cid=17466179707649562294
65,118,台式/小吃,炒飯,ChIJ-88kIperQjQRXS_ZreF7fHY,MFriedRice 賣炒,MFriedRice  mài chǎo ,7.1688841958882685,None,https://maps.google.com/?cid=8537835202802167645
167,gongguan,飲料/甜點,冰品,ChIJq98Fh9KpQjQR5Ppeb-q---8,基仔冰,jī zǎi bīng ,7.121346732196518,https://www.instagram.com/explore/locations/242034099947261/corgicelolly/,https://maps.google.com/?cid=17292625108319271652
220,wenzhou,台式/小吃,小吃,ChIJ_8XKO4mpQjQRXrQdCkXI3gk,泰街頭,tài jiē tóu ,7.112350819282918,https://www.instagram.com/explore/locations/101484197942468/,https://maps.google.com/?cid=711225990019134558
380,gongguan,速食,速食,ChIJY6x2PnqpQjQRVnnCCNQyKgU,頂呱呱,dǐng gū gū ,7.094260837351292,None,https://maps.google.com/?cid=372165805472905558
144,wenzhou,日式料理,咖哩,ChIJYW1dk-upQjQRbFzQRmjRGLQ,寶貝咖哩,bǎo bèi kā lī ,7.085013253407625,None,https://maps.google.com/?cid=12977352572062948460
293,wenzhou,台式/小吃,便當,ChIJc0GYVI6pQjQR72CAMLlWePg,喜港式燒臘便當,xǐ gǎng shì shāo là biàn dāng ,7.073817834433908,https://www.instagram.com/explore/locations/101358474812583/,https://maps.google.com/?cid=17904155671994065135
365,gongguan,日式料理,日式料理,ChIJJQBpS_WpQjQR1QUnsPcIhwY,狗一下居酒食堂,gǒu yī xià jū jiǔ shí táng ,7.071101988970717,https://www.instagram.com/explore/locations/1n775251562583513/,https://maps.google.com/?cid=470354545988797909
347,gongguan,飲料/甜點,飲料,ChIJZbOpk-GpQjQRI6hs76n0w0M,春芳號台北公館店,chūn fāng hào tái běi gōng guǎn diàn ,7.058644986461244,https://www.instagram.com/explore/locations/114193180013762/-/,https://maps.google.com/?cid=4883015431703275555
366,gongguan,韓式料理,韓式料理,ChIJVVVVVRWsQjQRmPdlBQr3qys,小飯館兒,xiǎo fàn guǎn ér ,7.057430345626095,https://www.instagram.com/explore/locations/1024500790/,https://maps.google.com/?cid=3146880387060725656
321,wenzhou,素食/健康,素食,ChIJW4eHM4mpQjQROM8Pp_6hEOw,素德蔬食,sù dé shū shí ,7.036648028606026,https://www.instagram.com/explore/locations/1698447523812022/,https://maps.google.com/?cid=17010273907674959672
221,wenzhou,台式/小吃,小吃,ChIJU7uUNIypQjQR-v12zQtA5-g,耕莘魷魚羹,gēng shēn yóu yú gēng ,7.0338927441847465,https://www.instagram.com/explore/locations/734354429/,https://maps.google.com/?cid=16782452955855388154
351,gongguan,飲料/甜點,飲料,ChIJ1V2JefKpQjQRDyl0SimHxkc,甘蔗媽媽,gān zhè mā mā ,7.029604854567683,https://www.instagram.com/explore/locations/213124142683195/-/,https://maps.google.com/?cid=5171969833494128911
85,118,台式/小吃,便當,ChIJH0YHDyyqQjQRfLbbnfi0b4E,金城便當,jīn chéng biàn dāng ,7.013724639032592,None,https://maps.google.com/?cid=9326872333200897660
188,gongguan,飲料/甜點,飲料,ChIJp1wkXi-pQjQRfu3yyNjKXew,日日裝茶公館台大店,rì rì zhuāng chá gōng guǎn tái dà diàn ,6.980934036896586,None,https://maps.google.com/?cid=17031992398218194302
58,118,台式/小吃,小吃,ChIJ-xPWkC2qQjQRX4dMxtRvsDs,曾味小吃,céng wèi xiǎo chī ,6.97069224638696,None,https://maps.google.com/?cid=4301060603789477727
